executed_at,platform,application,service,transaction_id,trade_uuid,type,amount,uti,caaj_from,caaj_to,comment
2022-08-13 05:59:22,osmosis,osmosis,osmosis,A838CC3309C4C616FE64CE9EDEA2A0ECA9D8424EF12034F913FA80CA0E852F5E,,lose,0.003128,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-08-13 06:01:03,osmosis,osmosis,osmosis,E72793F5AACDFF0B3466C9D78961EE0A95947CB812F9CD1851299BD2C83579CE,,send,101.654119,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,kujira17vm6qd44wua7lgptcge3w45wufze8lcvr2hrgt,
2022-08-13 06:01:03,osmosis,osmosis,osmosis,E72793F5AACDFF0B3466C9D78961EE0A95947CB812F9CD1851299BD2C83579CE,,lose,0.003128,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-08-13 06:04:15,osmosis,osmosis,osmosis,41C99D2C5A2E59484D74EA2492D06CF8DC3212D55B5C539877DAEC2C7EF3E7E2,,lose,0.003325,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-08-13 06:04:15,osmosis,osmosis,osmosis,41C99D2C5A2E59484D74EA2492D06CF8DC3212D55B5C539877DAEC2C7EF3E7E2,,send,101,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,kujira17vm6qd44wua7lgptcge3w45wufze8lcvr2hrgt,
2022-08-13 06:05:59,osmosis,osmosis,osmosis,659D090541259B3D925A3A3031FD290CC35F090E78D97D77435FFE8B16B11AB8,,send,100,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,kujira17vm6qd44wua7lgptcge3w45wufze8lcvr2hrgt,
2022-08-13 06:05:59,osmosis,osmosis,osmosis,659D090541259B3D925A3A3031FD290CC35F090E78D97D77435FFE8B16B11AB8,,lose,0.003325,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-08-13 06:07:19,osmosis,osmosis,swap,37139C865443BA1ADA5130FA65A6C1FC43F9C925DEFB4B7DE4F931E2169F9F26,93a9defb-c7b9-4bca-ad2b-ee81c175fb7c,lose,50.827059,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo10venxtvdglryxkdmvjr8wa6n3ugja40rewddlxtg0pr30vmkf47sllgslg,
2022-08-13 06:07:19,osmosis,osmosis,swap,37139C865443BA1ADA5130FA65A6C1FC43F9C925DEFB4B7DE4F931E2169F9F26,93a9defb-c7b9-4bca-ad2b-ee81c175fb7c,get,41.563554,osmo,osmo10venxtvdglryxkdmvjr8wa6n3ugja40rewddlxtg0pr30vmkf47sllgslg,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-08-13 06:08:23,osmosis,osmosis,osmosis,DF168A71DFFB46BE9D6D557CC7373DFB0D9EBF339F448528B4D759620CA22491,,send,54.902612,ibc%2FBB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,kujira17vm6qd44wua7lgptcge3w45wufze8lcvr2hrgt,
2022-08-13 06:08:23,osmosis,osmosis,osmosis,DF168A71DFFB46BE9D6D557CC7373DFB0D9EBF339F448528B4D759620CA22491,,lose,0.00325,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
